d,1,a,5,g,3,twelve
d,?,c,8,b,5,ten
b,1,c,2,g,7,fourteen
d,1,b,8,c,6,fifteen
b,1,h,7,?,6,fifteen
b,2,a,5,e,2,twelve
c,3,f,4,a,1,two
d,2,a,7,c,4,thirteen
d,1,a,2,d,?,fourteen
c,3,a,3,h,2,nine
b,1,g,1,h,3,nine
d,2,e,4,a,1,four
d,1,e,1,g,4,thirteen
c,1,h,6,b,4,fourteen
?,1,f,?,a,8,ten
d,3,f,1,c,6,twelve
b,2,b,?,g,2,eleven
c,2,b,5,g,?,twelve
b,2,c,7,?,5,fourteen
c,1,?,6,g,8,eleven
d,3,d,8,?,6,eleven
b,1,e,1,g,2,thirteen
c,2,f,2,g,?,eleven
a,1,d,4,?,5,sixteen
d,1,g,3,b,6,?
b,?,f,4,c,7,fifteen
d,3,c,3,a,5,nine
d,3,f,4,e,6,?
c,2,e,1,d,4,twelve
d,1,g,1,a,5,?
c,1,a,3,e,7,fourteen
d,4,b,1,e,2,ten
c,3,e,3,e,4,?
d,3,b,4,g,2,seven
d,4,g,1,?,5,eleven
d,3,a,1,g,4,twelve
d,4,c,2,h,4,nine
d,3,a,3,f,8,eleven
d,1,e,2,g,4,thirteen
b,?,d,?,g,5,fourteen
b,1,a,?,g,4,fourteen
a,1,a,3,h,5,fifteen
d,1,?,7,a,?,eight
c,?,d,8,h,?,eleven
b,1,e,3,?,1,eight
?,1,a,8,h,6,fourteen
b,1,b,3,d,1,nine
d,2,a,?,?,7,twelve
c,2,c,4,h,1,eight
c,1,a,5,?,4,?
c,2,a,?,b,6,thirteen
c,1,h,3,h,5,fourteen
c,?,e,8,h,2,nine
d,1,f,5,d,8,fourteen
?,1,c,6,e,?,sixteen
d,3,c,8,e,8,thirteen
d,?,g,2,f,1,draw
d,2,c,5,b,6,draw
d,2,b,?,b,4,fourteen
c,1,e,6,e,5,draw
d,1,b,6,g,4,fourteen
d,3,?,7,e,6,draw
c,3,c,8,g,?,ten
d,1,d,4,c,4,draw
d,3,g,1,b,8,ten
d,2,?,6,b,3,thirteen
c,1,d,3,h,4,fourteen
d,3,f,1,b,7,ten
b,?,b,8,h,8,fourteen
d,1,g,2,c,5,fourteen
d,2,a,8,e,7,thirteen
d,2,g,6,?,2,six
b,1,b,6,e,8,thirteen
d,1,f,5,a,7,thirteen
b,1,e,2,a,3,twelve
d,3,e,7,a,8,seven
b,1,f,?,d,1,thirteen
c,3,b,4,g,1,eight
d,3,?,2,e,5,twelve
a,1,g,3,h,6,eleven
c,2,h,2,c,4,thirteen
d,2,a,4,f,2,seven
d,3,f,?,h,3,six
c,1,a,4,?,6,fourteen
b,1,f,5,h,3,twelve
b,2,d,1,g,3,fourteen
d,2,a,1,b,7,thirteen
d,4,c,3,g,3,eleven
c,1,b,4,g,2,eight
d,2,a,2,b,1,?
d,?,h,?,?,2,eleven
d,4,b,3,f,4,eleven
b,2,a,8,h,5,thirteen
b,1,?,?,a,3,twelve
d,3,f,?,h,1,seven
a,1,b,3,d,3,sixteen
?,1,?,8,h,1,?
b,2,b,3,e,2,nine
d,2,d,4,a,3,five
c,1,b,3,e,4,fourteen
d,1,g,5,g,3,fourteen
b,1,f,6,c,?,sixteen
?,4,c,5,g,1,nine
b,2,a,?,d,3,ten
d,4,b,1,h,8,nine
a,1,a,6,g,1,eleven
d,1,a,2,a,3,draw
a,1,f,7,g,3,thirteen
d,1,h,4,e,8,fourteen
?,4,b,1,h,5,nine
a,?,e,6,h,1,twelve
d,2,e,4,h,1,?
d,4,f,4,f,1,eight
d,1,h,2,b,5,thirteen
d,1,e,8,d,5,fourteen
d,2,d,4,?,7,ten
c,1,?,1,f,4,fourteen
d,1,c,5,a,2,eleven
d,4,f,6,?,5,draw
b,1,a,7,b,5,fourteen
d,?,g,?,e,2,eight
c,2,f,5,a,?,seven
?,2,d,8,?,3,thirteen
d,1,f,4,e,3,draw
c,3,g,4,b,1,two
c,3,b,?,f,5,thirteen
c,3,h,?,f,6,thirteen
a,1,e,3,c,3,fifteen
c,?,h,6,g,8,twelve
d,1,a,6,a,7,draw
d,4,c,2,g,?,four
d,1,?,5,b,1,five
d,1,c,6,g,5,fifteen
c,1,h,4,b,3,eleven
d,?,?,8,d,7,draw
?,2,f,5,e,1,twelve
c,?,h,8,g,5,twelve
d,3,f,3,f,1,five
d,3,a,2,g,1,four
c,3,f,4,h,4,eleven
?,2,h,4,e,1,nine
d,1,f,7,c,6,fifteen
b,1,b,4,c,7,fourteen
b,2,d,7,f,3,fourteen
c,3,h,8,g,2,eleven
?,1,f,8,h,1,ten
c,1,e,6,c,6,fifteen
a,1,g,2,h,1,draw
d,3,a,5,h,3,eight
d,2,c,1,?,6,thirteen
b,2,d,1,h,7,?
d,1,e,5,a,5,twelve
d,4,c,3,a,1,six
c,2,f,3,a,8,nine
d,1,h,5,c,4,thirteen
c,1,b,8,c,8,draw
b,1,c,7,e,3,fifteen
d,1,a,2,?,3,?
d,1,f,6,?,4,?
b,1,f,3,h,4,thirteen
c,3,d,5,e,?,eleven
d,3,e,6,?,8,nine
a,1,f,3,d,1,eleven
d,1,d,4,f,5,fifteen
d,3,d,6,c,?,draw
d,1,g,3,c,3,fourteen
?,1,d,3,c,7,eleven
d,4,f,8,f,5,twelve
c,1,b,6,c,7,draw
b,2,h,1,f,4,fourteen
d,4,c,4,?,3,eleven
c,3,a,1,h,3,eleven
b,2,f,8,e,3,fifteen
a,1,c,7,g,6,sixteen
c,1,h,6,b,8,twelve
d,2,h,6,c,8,eleven
d,1,g,6,h,3,eight
d,2,d,5,e,4,draw
b,1,f,5,b,?,?
c,1,b,4,a,5,draw
d,4,?,7,e,2,ten
c,1,a,8,f,1,nine
d,4,e,?,?,1,draw
d,3,?,1,f,3,twelve
d,?,?,3,g,6,twelve
d,2,g,2,?,6,thirteen
d,3,d,4,b,1,five
d,3,b,5,c,1,one
c,2,d,2,d,7,thirteen
c,2,d,4,g,5,twelve
d,2,?,1,d,8,thirteen
c,2,b,5,a,2,four
d,3,g,7,?,8,nine
d,4,d,?,h,3,eight
?,1,c,6,d,4,fifteen
c,2,b,2,d,4,fourteen
?,2,d,7,g,4,fourteen
b,1,?,8,h,3,twelve
?,2,b,2,h,3,eleven
c,1,g,1,a,3,thirteen
c,1,d,6,b,7,?
c,2,b,3,e,1,seven
b,1,f,7,d,3,fifteen
c,2,g,?,g,6,thirteen
d,2,g,3,?,2,draw
c,1,g,3,e,2,eight
d,3,a,4,?,5,draw
b,1,e,8,g,3,thirteen
c,2,f,1,h,6,eleven
c,1,?,7,h,8,draw
b,2,f,8,h,2,eleven
?,2,b,3,g,?,thirteen
b,1,?,8,e,7,draw
c,1,e,2,f,1,draw
d,2,c,?,a,6,ten
d,1,h,1,d,6,?
b,1,h,3,b,4,fifteen
?,2,a,4,g,2,?
d,?,g,?,h,4,?
b,?,h,5,b,5,?
d,1,e,8,g,7,twelve
c,2,h,2,f,4,fourteen
?,1,g,2,c,8,fourteen
d,1,c,3,c,5,fourteen
b,?,a,7,h,7,thirteen
b,1,h,6,?,4,fourteen
a,1,h,3,g,1,ten
d,1,h,5,h,4,draw
c,2,f,6,g,8,eleven
?,1,b,7,?,1,six
b,2,?,7,e,2,fifteen
d,3,a,3,b,1,five
c,2,a,1,c,6,thirteen
d,2,e,2,?,3,?
d,3,g,7,b,6,eleven
c,2,e,6,h,8,eleven
c,2,d,7,d,8,draw
d,2,?,4,?,?,draw
c,2,?,1,g,8,thirteen
c,3,d,4,f,3,ten
c,2,b,2,h,7,thirteen
c,2,g,5,h,1,seven
b,1,b,5,e,5,fourteen
d,3,b,1,f,2,eight
d,?,?,2,b,2,eight
d,?,f,?,g,8,nine
d,2,a,8,a,3,eleven
c,1,c,4,f,3,nine
d,2,d,3,?,7,ten
b,1,f,7,f,3,fifteen
b,1,d,2,c,8,eleven
